viewId,chartType,queryStr,resolvedQueryStr,md5,svgFilename,durationReceiveData,durationTotal,heapUsed,totalDataFileSize
acres-burned-per-wildfire-usa,StackedBar,,,7ab7b9e72c58367ccaebd6ef558cf063,acres-burned-per-wildfire-usa_v5_850x600.svg,2,22,272181480,1055
acres-burned-usa,StackedBar,,,41ca97a5e561f3f0a8fbb5b75e1f4f65,acres-burned-usa_v6_850x600.svg,4,51,238771208,1238
active-mobile-money-accounts,StackedArea,,,44e6c0ec9b4d987a2b40c72c154c9619,active-mobile-money-accounts_v15_850x600.svg,2,21,242233448,3048
adequacy-of-social-insurance-programs,WorldMap,,,684e57fda13214c53bb17c776577d63d,adequacy-of-social-insurance-programs_v17_850x600.svg,3,34,275276544,16487
adequacy-of-social-safety-net-programs,WorldMap,,,6662d25fa0a381ed8dede7f7413666b0,adequacy-of-social-safety-net-programs_v15_850x600.svg,3,36,207976264,15942
adequacy-of-unemployment-benefits,DiscreteBar,,,26b86a2bdd31a517f69f7a118c72f185,adequacy-of-unemployment-benefits_v14_850x600.svg,7,23,261794168,3780
adjusted-net-saving-current-us-dollars,LineChart,,,8dc5611be814096a73d178c6012d5312,adjusted-net-saving-current-us-dollars_v13_850x600.svg,6,60,408652304,145924
adjusted-net-savings-per-person,LineChart,,,e7acf23a53e4c7afb9c4ee8f99db5466,adjusted-net-savings-per-person_v13_850x600.svg,4,28,288672416,128704
adolescent-fertility,WorldMap,,,6438c36688f4a5391e0256672ba3e4df,adolescent-fertility_v23_850x600.svg,4,45,290314144,107948
adolescent-fertility-15-19,WorldMap,,,a93dfc977cc3b20c9cd1fd2a060f3da4,adolescent-fertility-15-19_v28_850x600.svg,2,44,263826496,120998
adoption-of-mobile-money-accounts-vs-adoption-of-mobile-phones,ScatterPlot,,,cdb6f2b0a4d3bff979ef7cccad343663,adoption-of-mobile-money-accounts-vs-adoption-of-mobile-phones_v18_850x600.svg,3,32,282809976,23225
adoption-of-new-icd-guidelines-who-mortality-database,StackedBar,,,12f0d792de972ef984886488d4be72d2,adoption-of-new-icd-guidelines-who-mortality-database_v20_850x600.svg,1,36,207312896,4078
adult-obesity-vs-protein,ScatterPlot,,,abdd46ab39adcf052ba9d46a3bfc79ed,adult-obesity-vs-protein_v17_850x600.svg,50,132,432229544,748049
adult-population-covered-in-primary-data-on-the-prevalence-of-major-depression,DiscreteBar,,,3909f94e6ba01b54a3ef6b9e1506ad20,adult-population-covered-in-primary-data-on-the-prevalence-of-major-depression_v9_850x600.svg,2,41,319445808,698
adult-population-covered-in-primary-data-on-the-prevalence-of-mental-illnesses,DiscreteBar,,,d7be75bd7709d05e193a534a45df391c,adult-population-covered-in-primary-data-on-the-prevalence-of-mental-illnesses_v11_850x600.svg,5,26,267229112,4137
adults-living-alone,LineChart,,,5b0e41de77cf7f1e0a23805447f2af53,adults-living-alone_v7_850x600.svg,4,32,289526072,1715
adults-smoking-2007-2018,ScatterPlot,,,e2e6b299758c15a628fd39f7e25836e8,adults-smoking-2007-2018_v22_850x600.svg,7,49,242759832,80558
advertising-expenditure-and-market-share-of-breakfast-cereals-in-chicago,ScatterPlot,,,ec2506b923efa2cd7ec823bef26ae84b,advertising-expenditure-and-market-share-of-breakfast-cereals-in-chicago_v16_850x600.svg,1,17,271682376,2377
affected-by-disasters-vs-gdp,ScatterPlot,,,5911379a0847477e6ca869b49916c4da,affected-by-disasters-vs-gdp_v13_850x600.svg,25,158,321760944,493631
affiliation-researchers-building-artificial-intelligence-systems-all,StackedBar,,,aed4df551a8d0d2f9140b6fb30c8c8d9,affiliation-researchers-building-artificial-intelligence-systems-all_v164_850x600.svg,1,63,328480512,7151
affordability-cigarettes,WorldMap,,,84bba72d2223a86dc4ec9c087780ef39,affordability-cigarettes_v12_850x600.svg,2,24,304701512,31318
african-elephant-carcass-ratio,DiscreteBar,,,165092fa5854800457dd5fed3f5fa4fb,african-elephant-carcass-ratio_v5_850x600.svg,1,14,292591360,373
african-elephants,LineChart,,,9a7b233b8ea3dfdf53ef431a4e5400ad,african-elephants_v8_850x600.svg,3,19,322828856,2671
after-the-golden-age-unemployment-and-inflation-in-advanced-economies,LineChart,,,779a8f9743058c933425c05055117d5d,after-the-golden-age-unemployment-and-inflation-in-advanced-economies_v8_850x600.svg,2,19,280560848,4081
age-at-marriage-women,LineChart,,,5b7a0bca471ecf4fe4e039342104e073,age-at-marriage-women_v32_850x600.svg,3,41,361951368,19576
age-dependency-breakdown,StackedArea,,,4b35dfac72aab72fd105c583afdac07f,age-dependency-breakdown_v18_850x600.svg,38,57,319756416,1289186
age-dependency-ratio-of-working-age-population,WorldMap,,,a0306447ed300e276d35bfb22f15df3c,age-dependency-ratio-of-working-age-population_v18_850x600.svg,4,34,308074512,642824
age-dependency-ratio-old,WorldMap,,,6adb1cba36d79c628ac3cd609171ddd4,age-dependency-ratio-old_v22_850x600.svg,4,44,273672016,645919
age-dependency-ratio-projected-to-2100,LineChart,,,c19a880a5ad69d63af2af25725f65b41,age-dependency-ratio-projected-to-2100_v15_850x600.svg,47,98,380349904,1311674
age-dependency-ratio-young-of-working-age-population,WorldMap,,,2e9bec209af3ad9e84d26bf6e427ebe9,age-dependency-ratio-young-of-working-age-population_v20_850x600.svg,3,52,351731016,643267
age-group-with-the-largest-population,WorldMap,,,ef6ebfcf684cd65bf1d089d43739eff3,age-group-with-the-largest-population_v14_850x600.svg,4,29,331856136,589567
age-of-consent-same-sex-different-sex-partners,WorldMap,,,10fe6eea59a645051d242e0e65edce05,age-of-consent-same-sex-different-sex-partners_v19_850x600.svg,4,29,456910488,260964
age-of-consent-same-sex-partners-equaldex,WorldMap,,,38457f4852f9abc10245c7ac15ffaa14,age-of-consent-same-sex-partners-equaldex_v22_850x600.svg,2,18,289889336,219612
age-of-democracy-polity,WorldMap,,,93a3b24f086f4e8cfc8f74ed815428a4,age-of-democracy-polity_v56_850x600.svg,4,79,301349296,651384
age-of-electoral-democracy,WorldMap,,,469f0f0f8ff8408ffbc868e0ade4eacc,age-of-electoral-democracy_v53_850x600.svg,5,68,411012128,1270651
age-of-electoral-democracy-lexical,WorldMap,,,6bfd4b4bf05c157496fe54e07b1a9052,age-of-electoral-democracy-lexical_v56_850x600.svg,5,50,363549696,1687711
age-of-full-democracy,WorldMap,,,7ce2e3c4a2330c1fccab0aec2e3369bd,age-of-full-democracy_v60_850x600.svg,6,119,494298824,1734696
age-of-liberal-democracy-row,WorldMap,,,e660d000d0b46690af1af0862e8fc293,age-of-liberal-democracy-row_v50_850x600.svg,5,44,271250240,1324156
age-of-mothers-at-childbirth-by-year,LineChart,,,3a7ffa19d6333e4ff1c63e60a256ccf9,age-of-mothers-at-childbirth-by-year_v16_850x600.svg,124,186,362637496,2531639
age-standardized-death-rate-by-cause,StackedArea,,,d6f123a364486db81fd366ccae306a74,age-standardized-death-rate-by-cause_v24_850x600.svg,57,91,346254800,975503
age-standardized-deaths-from-all-causes,WorldMap,,,fb4f78ffbd587c5ffdedad8fb728e2a4,age-standardized-deaths-from-all-causes_v29_850x600.svg,3,37,333587096,325786
age-when-first-had-anxiety-depression,StackedDiscreteBar,,,044587b6ba3a3e156503c69ce86e3c6c,age-when-first-had-anxiety-depression_v22_850x600.svg,2,17,314414624,1751
agri-environmental-policies-gdp,ScatterPlot,,,04507a0802f07cfc227854cf5f5ddaf1,agri-environmental-policies-gdp_v12_850x600.svg,11,98,421890736,256352
agri-environmental-policies-intensity,WorldMap,,,dfd96e4a1f3db6e4f6136b1caa514101,agri-environmental-policies-intensity_v2_850x600.svg,3,27,511682496,6087
agricultural-area-per-capita,LineChart,,,43d4be9843a26f59eb8a3985afffc8b5,agricultural-area-per-capita_v11_850x600.svg,5,64,291355448,477546
agricultural-export-subsidies,LineChart,,,f37c76983d17b97b1856b35d565f1f48,agricultural-export-subsidies_v16_850x600.svg,2,13,354806000,30590
agricultural-general-services-support,WorldMap,,,6b0e96fe0701b412e2f3b3be8dbd8a0d,agricultural-general-services-support_v3_850x600.svg,1,131,327055000,3132
agricultural-land,WorldMap,,,fbb28afc5a5bde33cc385e52ba08bf3d,agricultural-land_v11_850x600.svg,3,37,376041016,527513
agricultural-land-area-by-farm-size,StackedDiscreteBar,,,a4a270d9cfde8e2d58d2815e8244053b,agricultural-land-area-by-farm-size_v8_850x600.svg,4,34,491206304,20936
agricultural-land-irrigation,WorldMap,,,66f06db6ce67ed86230e6aecfc8238c2,agricultural-land-irrigation_v19_850x600.svg,2,26,392374608,40936
agricultural-output-dollars,LineChart,,,fee3a139dace409f9cd5492493de9c99,agricultural-output-dollars_v6_850x600.svg,10,27,391956168,362692
agricultural-producer-support,WorldMap,,,026f82bbd2e7c43a1b460b8cdbad88f1,agricultural-producer-support_v3_850x600.svg,1,65,334003224,3385
agricultural-water-as-a-share-of-total-water-withdrawals,WorldMap,,,42cdec0cf128b67d4cba52b30f6d4905,agricultural-water-as-a-share-of-total-water-withdrawals_v17_850x600.svg,5,71,423474424,194787
agricultural-water-withdrawals,WorldMap,,,37dc663001626f3c4dbf7747cfeb3df5,agricultural-water-withdrawals_v6_850x600.svg,3,61,342843144,17923
agricultural-water-withdrawals-vs-gdp-per-capita,ScatterPlot,,,6d94e27df0cd9bf296df1893b20be7ac,agricultural-water-withdrawals-vs-gdp-per-capita_v29_850x600.svg,21,97,391697968,445354
agriculture-more-less-land,WorldMap,,,a9106b8aa12ac2e07de222a4371e1366,agriculture-more-less-land_v14_850x600.svg,3,90,523533640,453051
agriculture-orientation-index,WorldMap,,,ff3db7ba57de155377dd5cff6e9cf0e9,agriculture-orientation-index_v19_850x600.svg,2,30,351236216,135043
agriculture-share-gdp,WorldMap,,,6ddfd4b343c393e40d6a843839b61706,agriculture-share-gdp_v13_850x600.svg,7,91,454353016,324141
agriculture-value-added-per-worker-vs-gdp-per-capita,ScatterPlot,,,19d6fdcb0a5e37b402678160bc0ead58,agriculture-value-added-per-worker-vs-gdp-per-capita_v30_850x600.svg,155,697,478597808,2283474
agriculture-value-added-per-worker-wdi,WorldMap,,,f5da61e4d03eec5f0da8495a90f750df,agriculture-value-added-per-worker-wdi_v16_850x600.svg,2,43,367012984,200529
agriculture-vs-non-agriculture-share-in-informal-employment,ScatterPlot,,,e6abe1951598cf5fd833ffb7412037c1,agriculture-vs-non-agriculture-share-in-informal-employment_v17_850x600.svg,4,76,357017960,76247
ai-frontiermath-over-time,ScatterPlot,,,774b49b9d8da76dd48591fc550d71876,ai-frontiermath-over-time_v16_850x600.svg,3,69,553125592,3546
air-conditioners-projections,StackedArea,,,cd88ee3dab1978949063941c11c7dc77,air-conditioners-projections_v4_850x600.svg,2,23,420945072,20835
air-passenger-kilometers,WorldMap,,,837f953b15ebc8852b054555ced3ba8b,air-passenger-kilometers_v7_850x600.svg,2,94,424338688,36566
air-passengers-carried,WorldMap,,,c58603dfaa49f7e740591da98e10439b,air-passengers-carried_v23_850x600.svg,12,169,361561136,279171
air-passengers-per-fatality,LineChart,,,b58f4a70f799e1414220a13eb7f9b1e9,air-passengers-per-fatality_v12_850x600.svg,5,30,395177024,1833
air-pollutant-emissions,LineChart,,,33bdf99f485642321e2a7487b177efb7,air-pollutant-emissions_v4_850x600.svg,2,18,335522800,6634
air-pollution-deaths-by-age,StackedArea,,,10f04b8fb7e01453a9c26bd306bdf754,air-pollution-deaths-by-age_v17_850x600.svg,40,61,434176048,1300731
air-pollution-deaths-country,WorldMap,,,eee93eac1c7ee06da2b1fb2672ec8e3d,air-pollution-deaths-country_v17_850x600.svg,4,57,355646600,258837
air-pollution-london-vs-delhi,LineChart,,,b76a70cf7b652b6968025335994453f2,air-pollution-london-vs-delhi_v9_850x600.svg,3,112,478358768,11595
air-pollution-vs-gdp-per-capita,ScatterPlot,,,e574bf27099e261abd41f1eb9e97d019,air-pollution-vs-gdp-per-capita_v22_850x600.svg,73,247,502644024,1852033
air-transport-freight-ton-km,WorldMap,,,56c42e38dbe48911718548bb47cdac9a,air-transport-freight-ton-km_v20_850x600.svg,17,139,191901912,245991
air-trips-per-capita,WorldMap,,,1f430a6196b3f3e495cff74a70c31df2,air-trips-per-capita_v6_850x600.svg,2,90,372988208,11472
airline-capacity-and-traffic,LineChart,,,89e5095c5a1a97351262664f72dd9fe7,airline-capacity-and-traffic_v13_850x600.svg,5,31,390108808,6482
airline-passenger-load-factor,StackedArea,,,2ca92fd150bfac4d2e0e12ac0e2a48f1,airline-passenger-load-factor_v10_850x600.svg,2,33,354488704,4563
airliner-hijackings-and-fatalities-from-them,StackedBar,,,ec289925b302c54e18a41697178c27c5,airliner-hijackings-and-fatalities-from-them_v22_850x600.svg,3,195,441697760,4328
alcohol-attributable-fraction-of-mortality,WorldMap,,,33bd438d968268cf0444964a7fdccfda,alcohol-attributable-fraction-of-mortality_v14_850x600.svg,4,23,384713416,6025
alcohol-by-type-1890,StackedArea,,,6f89f62da10567fa676ed841ed971dc9,alcohol-by-type-1890_v6_850x600.svg,2,21,372238912,5239
alcohol-consumption-by-15-19-year-old-males-vs-females,ScatterPlot,,,b4fa508b4d44a10d4afea5cdd9ae68db,alcohol-consumption-by-15-19-year-old-males-vs-females_v23_850x600.svg,70,283,518537872,1852191
alcohol-consumption-by-tourists,DiscreteBar,,,9dc761b1f90b5e4577913d48fe9064b3,alcohol-consumption-by-tourists_v14_850x600.svg,2,24,389581400,823
alcohol-consumption-in-15-19-year-olds,WorldMap,,,438d339d8bcb5fae6fe890b64bab164b,alcohol-consumption-in-15-19-year-olds_v14_850x600.svg,11,37,207573464,5274
alcohol-consumption-per-capita-men-women,ScatterPlot,,,20b398528363636330f17f597ce01879,alcohol-consumption-per-capita-men-women_v11_850x600.svg,212,475,451304728,2529273
alcohol-consumption-per-person-us,StackedArea,,,398e78cc3173732b0aad07765b05705b,alcohol-consumption-per-person-us_v9_850x600.svg,14,59,406895304,8016
alcohol-consumption-vs-gdp-per-capita,ScatterPlot,,,1cfae885a63437e4155b370fe3c83e00,alcohol-consumption-vs-gdp-per-capita_v34_850x600.svg,105,313,283837680,371334
alcohol-disorders-dalys-age-standardized-rate,WorldMap,,,747f723bfd4e693f8b6868f8c81f6ad1,alcohol-disorders-dalys-age-standardized-rate_v21_850x600.svg,2,167,382850416,252496
alcohol-drug-use-disorders-share-total-disease,WorldMap,,,e91b5209ed266142a4413e9ed4c5d309,alcohol-drug-use-disorders-share-total-disease_v28_850x600.svg,6,66,464670384,263421
alcohol-expenditure,StackedArea,,,34b66a0218891dbac7d39000907b1218,alcohol-expenditure_v7_850x600.svg,10,58,503615120,16623
alcohol-expenditure-as-share-of-total,WorldMap,,,9b671b361031cd7845bb6f51c956065f,alcohol-expenditure-as-share-of-total_v15_850x600.svg,2,32,393735472,13697
alcohol-or-drug-use-disorders-male-vs-female,ScatterPlot,,,f50ec9d54d63f409c1c5c90bdc157779,alcohol-or-drug-use-disorders-male-vs-female_v29_850x600.svg,108,335,576324664,2363888
alcohol-related-crimes-of-all-crimes,DiscreteBar,,,d90b4ecab18f707d37160b4621fbe83f,alcohol-related-crimes-of-all-crimes_v17_850x600.svg,3,22,537704736,6460
almond-yields,WorldMap,,,90e07a14848af134ad763938c70c4e87,almond-yields_v11_850x600.svg,6,43,482433192,137592
alzheimers-parkinsons-prevalence,DiscreteBar,,,db90a4f497d74a14b45f69ee8479e6f9,alzheimers-parkinsons-prevalence_v11_850x600.svg,10,28,513009960,538199
americans-worry-work-being-automated,StackedBar,,,7976cdcf2ec14e325357824da6c649b8,americans-worry-work-being-automated_v32_850x600.svg,2,19,421960312,12454
amount-of-foreign-aid-spend-in-recipient-countries,LineChart,,,d5215998a1d7705872a0675594338e1a,amount-of-foreign-aid-spend-in-recipient-countries_v13_850x600.svg,4,46,515032672,53395
anemia-pregnant-women-vs-children,ScatterPlot,,,5b0f7dbd1181ced08c39c7337b8c0142,anemia-pregnant-women-vs-children_v27_850x600.svg,7,57,528794048,267863
anemia-risk-groups,DiscreteBar,,,4d49674908314734df8ea73460e1a056,anemia-risk-groups_v7_850x600.svg,11,36,414029384,400035
animal-lives-lost-direct,DiscreteBar,,,de19c5e9b2e78d49ebe5945ff33fa84f,animal-lives-lost-direct_v9_850x600.svg,2,13,468442528,481
animal-lives-lost-total,DiscreteBar,,,78e89dddcca2e48267a3594aafe8cd50,animal-lives-lost-total_v6_850x600.svg,2,9,532567328,485
animal-protein-consumption,StackedDiscreteBar,,,eae90150172955c183c7abf14afa3a67,animal-protein-consumption_v16_850x600.svg,65,130,419138416,3482263
animal-protein-vs-gdp,ScatterPlot,,,43cd368c2894d6911a09ec5e00efff53,animal-protein-vs-gdp_v38_850x600.svg,19,87,486186944,687243
animals-slaughtered-for-meat,LineChart,,,5cc6988c5cc9c62e247a728e0a676d8c,animals-slaughtered-for-meat_v21_850x600.svg,56,99,533361320,2630603
annual-afforestation,WorldMap,,,3aa51a770593bb6d10a9cb59e37eaac8,annual-afforestation_v9_850x600.svg,3,34,265106208,18303
annual-area-burnt-by-wildfires,StackedBar,,,1e34ec95ca2c57549bc3e699351954f3,annual-area-burnt-by-wildfires_v22_850x600.svg,3,36,518845280,112466
annual-area-burnt-by-wildfires-gwis,LineChart,,,273173f77bca8f89523eed3270adfb2a,annual-area-burnt-by-wildfires-gwis_v14_850x600.svg,3,31,578036560,165016
annual-area-burnt-per-wildfire,WorldMap,,,932abc8354e97cfa48988180a9da1e40,annual-area-burnt-per-wildfire_v29_850x600.svg,3,31,281995968,91113
annual-area-burnt-per-wildfire-vs-number-of-fires,ScatterPlot,,,e2172060430be6f4922ce19457de155e,annual-area-burnt-per-wildfire-vs-number-of-fires_v17_850x600.svg,5,42,521767304,206224
annual-broad-money-growth,WorldMap,,,6ba87e05db65a9999d18ef9075b05fba,annual-broad-money-growth_v10_850x600.svg,5,32,437632656,106315
annual-burned-area-by-landcover,StackedArea,,,70de0b25c17a408504498d8ef0f461e2,annual-burned-area-by-landcover_v17_850x600.svg,12,58,556770144,794380
annual-carbon-dioxide-emissions,StackedBar,,,dee82dcf9d979294a781309ecd5d594f,annual-carbon-dioxide-emissions_v24_850x600.svg,2,44,537054808,194544
annual-change-coal,WorldMap,,,c7886f052eaad6ac21d37ac81f757901,annual-change-coal_v32_850x600.svg,5,27,302157120,213820
annual-change-forest-area,WorldMap,,,c7f2dabf961d6f00949af484db9b3045,annual-change-forest-area_v15_850x600.svg,2,36,460052184,272062
annual-change-fossil-fuels,WorldMap,,,97b57b91dd001099fbcf7031f13a58d1,annual-change-fossil-fuels_v22_850x600.svg,2,25,324558512,214940
annual-change-gas,WorldMap,,,085144b6cff77c103d5755c2cdc1dd4c,annual-change-gas_v21_850x600.svg,3,23,575089904,210247
annual-change-hydro,WorldMap,,,593ece19926f827c1e1dd4d21a68cd0c,annual-change-hydro_v24_850x600.svg,6,37,594946288,212491
annual-change-in-average-female-height,LineChart,,,ca92b260fc0fdd71eb6b2fca0f61b023,annual-change-in-average-female-height_v9_850x600.svg,7,29,515801824,657833
annual-change-in-average-male-height,LineChart,,,f4f8aa1ddb3d44e4ca0430f056c1924c,annual-change-in-average-male-height_v9_850x600.svg,4,34,550331680,656742
annual-change-in-solar-and-wind-energy-generation,LineChart,,,c2a9195fc9d6aebb781b0a54563ba426,annual-change-in-solar-and-wind-energy-generation_v10_850x600.svg,3,21,601112168,252760
annual-change-low-carbon-energy,WorldMap,,,47645d05b22952fa150a1f5cb7cab028,annual-change-low-carbon-energy_v26_850x600.svg,3,30,478885232,213454
annual-change-nuclear,WorldMap,,,a904b7f852193387881b5989d809cccf,annual-change-nuclear_v25_850x600.svg,2,25,537484344,222461
annual-change-oil,LineChart,,,efeba43921bf548d66624d72e907c8db,annual-change-oil_v22_850x600.svg,5,30,555429032,215283
annual-change-primary-energy-source,DiscreteBar,,,4a300aba240261cb26dd7517bdbab633,annual-change-primary-energy-source_v22_850x600.svg,42,71,317944368,1653954
annual-change-renewables,WorldMap,,,18a635f8b4ba769f44e9ae961a68598f,annual-change-renewables_v23_850x600.svg,3,23,621965832,213616
annual-change-solar,WorldMap,,,e714d0b2baf4d3d6db0efa9df6ec46ef,annual-change-solar_v25_850x600.svg,2,55,614350088,189263
annual-change-wind,WorldMap,,,5ec13660c5ae4e2fc92a138703e16edc,annual-change-wind_v26_850x600.svg,5,36,496496528,190828
annual-co-emissions-by-region,StackedArea,,,53ed6279a95b994e245ba6353e3cc079,annual-co-emissions-by-region_v54_850x600.svg,9,75,554560472,940158
annual-co-emissions-from-aviation,WorldMap,,,0938fbf0ec7f7c02d7253d70b9b47805,annual-co-emissions-from-aviation_v12_850x600.svg,2,24,572726776,52943
annual-co2-cement,WorldMap,,,6a24708a7396ff26970868ca0a6e01f5,annual-co2-cement_v29_850x600.svg,6,38,595418840,826441
annual-co2-coal,WorldMap,,,8aa1df8f37d13b97349cc4023ddaac6a,annual-co2-coal_v31_850x600.svg,5,48,349079792,682637
annual-co2-emissions-per-country,LineChart,,,1d03a6cecee91ae575c3836093e7d31a,annual-co2-emissions-per-country_v56_850x600.svg,5,35,654659448,940158
annual-co2-flaring,WorldMap,,,5465649fa46b30b7150c662adcfeb983,annual-co2-flaring_v27_850x600.svg,3,30,551625104,453237
annual-co2-gas,WorldMap,,,38145147146a62a2596471d352eb5419,annual-co2-gas_v26_850x600.svg,10,61,468551440,526339
annual-co2-including-land-use,WorldMap,,,b6456f8a426aa3088e640b5c141b5285,annual-co2-including-land-use_v19_850x600.svg,9,66,619951784,786108
annual-co2-oil,WorldMap,,,fc378fa216fa497c338331be0a5d7535,annual-co2-oil_v32_850x600.svg,6,78,676686512,785430
annual-co2-other-industry,WorldMap,,,30d60fda1023a81e1b153d35d6d52dee,annual-co2-other-industry_v38_850x600.svg,4,45,571615352,100865
annual-condoms-distributed-and-sold-per-1000-people,WorldMap,,,2cd4d15043558dce9e915ddf5b8e4ed8,annual-condoms-distributed-and-sold-per-1000-people_v9_850x600.svg,3,26,366144656,15501
annual-death-rate-by-age-group,DiscreteBar,,,aef1af6ca1112caf03a3fb10326d03fe,annual-death-rate-by-age-group_v15_850x600.svg,62,92,577676672,2488296
annual-death-rates-in-different-age-groups,LineChart,,,36af9d3e304b031a9e0e1fe8b1229df3,annual-death-rates-in-different-age-groups_v17_850x600.svg,117,173,493448352,4058711
annual-death-rates-in-different-age-groups-by-sex,DiscreteBar,,,83d967f335baf6df305815c46396af16,annual-death-rates-in-different-age-groups-by-sex_v27_850x600.svg,238,274,659336224,9381200
annual-death-rates-in-different-age-groups-females,LineChart,,,c8a7d0e464c8654914506980fb3863a1,annual-death-rates-in-different-age-groups-females_v24_850x600.svg,73,124,660160368,4024623
annual-death-rates-in-different-age-groups-males,LineChart,,,ae2162d307fa54260ab51182ea0aed24,annual-death-rates-in-different-age-groups-males_v25_850x600.svg,83,146,709668144,4032072
annual-deaths-by-age,DiscreteBar,,,20eee393a6b951e831824232c4e4f2d5,annual-deaths-by-age_v33_850x600.svg,330,367,425260872,11153747
annual-deaths-by-age-england-and-wales,StackedArea,,,32802701d564f50c3ad606b10596f4e8,annual-deaths-by-age-england-and-wales_v10_850x600.svg,2,15,604900544,6301
annual-deaths-from-outdoor-air-pollution-by-region,StackedArea,,,0de013c8535bd1f53a154654993c4159,annual-deaths-from-outdoor-air-pollution-by-region_v20_850x600.svg,2,24,581817040,259076
annual-deforestation,WorldMap,,,32946e114d1a114b40769e610bd75d5c,annual-deforestation_v10_850x600.svg,1,16,598250848,20132
